Soil_Type,Soil_Moisture_Level,Soil_Nitrogen_Level (N),Soil_Phosphorus_Level (P),Soil_Potassium_Level (K),Rainfall,Region_Name,Season,Recommended_Crops
Sandy Loam,27.00%,72,90,84,737 mm,West Bengal,Rabi,"['Chickpea', 'Cotton', 'Groundnut']"
Silty Loam,55.00%,80,83,70,644 mm,Maharashtra,Rabi,"['Pulses', 'Vegetables']"
Silty Loam,41.00%,91,90,91,1002 mm,Karnataka,Zaid,"['Vegetables', 'Pulses']"
Black Cotton Soil,35.00%,103,70,80,1178 mm,Punjab,Rabi,['Sorghum']
Sandy Loam,46.00%,30,24,20,712 mm,Punjab,Rabi,['Groundnut']
Silty Loam,41.00%,66,49,25,496 mm,Odisha,Rabi,"['Pulses', 'Mustard', 'Vegetables']"
Black Cotton Soil,23.00%,92,36,53,969 mm,Karnataka,Rabi,['Soybean']
Sandy Loam,17.00%,58,83,25,444 mm,Andhra Pradesh,Kharif,"['Groundnut', 'Chickpea']"
Clayey,44.00%,95,33,31,1129 mm,Punjab,Rabi,"['Sugarcane', 'Jute']"
Loamy,25.00%,77,83,102,600 mm,West Bengal,Zaid,"['Maize', 'Wheat', 'Barley']"
Black Cotton Soil,43.00%,57,23,53,501 mm,Odisha,Kharif,"['Cotton', 'Sorghum']"
Silty Loam,54.00%,46,67,86,1172 mm,Tamil Nadu,Zaid,['Vegetables']
Loamy,43.00%,37,84,94,610 mm,West Bengal,Zaid,"['Maize', 'Barley', 'Wheat']"
Sandy Loam,16.00%,115,32,60,647 mm,Odisha,Zaid,['Chickpea']
Silty Loam,54.00%,101,23,86,1052 mm,Maharashtra,Kharif,"['Pulses', 'Mustard']"
Loamy,24.00%,54,31,97,704 mm,Tamil Nadu,Zaid,"['Wheat', 'Barley']"
Silty Loam,49.00%,74,88,20,1126 mm,West Bengal,Zaid,"['Vegetables', 'Pulses']"
Loamy,28.00%,101,58,23,1006 mm,Punjab,Kharif,"['Wheat', 'Maize', 'Barley']"
Clayey,22.00%,76,62,76,782 mm,Punjab,Zaid,['Sugarcane']
Sandy Loam,25.00%,74,30,33,1117 mm,Odisha,Zaid,"['Groundnut', 'Cotton']"
Sandy Loam,33.00%,72,86,90,413 mm,West Bengal,Kharif,['Groundnut']
Loamy,20.00%,62,76,82,512 mm,Odisha,Rabi,"['Wheat', 'Maize', 'Barley']"
Silty Loam,31.00%,91,34,45,1090 mm,Andhra Pradesh,Zaid,['Mustard']
Black Cotton Soil,41.00%,94,76,107,837 mm,Tamil Nadu,Zaid,['Cotton']
Clayey,12.00%,108,47,33,596 mm,Punjab,Kharif,"['Rice', 'Jute']"
Sandy Loam,33.00%,70,87,39,1160 mm,Tamil Nadu,Kharif,['Cotton']
Silty Loam,20.00%,114,33,73,876 mm,West Bengal,Zaid,"['Pulses', 'Vegetables']"
Clayey,24.00%,36,55,34,1081 mm,Tamil Nadu,Zaid,"['Sugarcane', 'Rice', 'Jute']"
Loamy,11.00%,101,59,110,342 mm,Andhra Pradesh,Rabi,['Maize']
Silty Loam,23.00%,36,25,58,725 mm,Odisha,Kharif,"['Vegetables', 'Pulses', 'Mustard']"
Loamy,37.00%,58,39,97,312 mm,Karnataka,Zaid,"['Maize', 'Wheat']"
Loamy,59.00%,114,53,39,410 mm,Karnataka,Kharif,"['Maize', 'Wheat']"
Sandy Loam,16.00%,98,57,39,530 mm,West Bengal,Zaid,['Cotton']
Black Cotton Soil,20.00%,113,64,71,721 mm,Odisha,Zaid,"['Soybean', 'Sorghum']"
Black Cotton Soil,31.00%,106,57,99,908 mm,Tamil Nadu,Kharif,['Cotton']
Sandy Loam,14.00%,80,60,83,726 mm,Punjab,Zaid,['Chickpea']
Black Cotton Soil,57.00%,108,68,37,483 mm,Maharashtra,Rabi,['Soybean']
Silty Loam,59.00%,97,78,83,985 mm,Tamil Nadu,Rabi,"['Mustard', 'Vegetables']"
Silty Loam,16.00%,77,79,73,364 mm,Andhra Pradesh,Kharif,"['Mustard', 'Pulses']"
Clayey,26.00%,100,29,70,736 mm,Karnataka,Kharif,"['Rice', 'Sugarcane', 'Jute']"
Sandy Loam,44.00%,77,28,110,953 mm,Odisha,Zaid,['Groundnut']
Sandy Loam,47.00%,88,57,57,819 mm,Karnataka,Rabi,"['Chickpea', 'Groundnut']"
Silty Loam,52.00%,110,42,25,841 mm,Maharashtra,Kharif,"['Vegetables', 'Pulses']"
Clayey,45.00%,91,30,21,647 mm,West Bengal,Zaid,['Sugarcane']
Sandy Loam,60.00%,100,80,57,571 mm,Tamil Nadu,Rabi,"['Cotton', 'Chickpea']"
Black Cotton Soil,29.00%,72,42,97,382 mm,Punjab,Kharif,"['Sorghum', 'Soybean', 'Cotton']"
Black Cotton Soil,25.00%,106,51,40,723 mm,Maharashtra,Kharif,['Soybean']
Black Cotton Soil,56.00%,92,77,86,534 mm,Maharashtra,Rabi,['Sorghum']
Silty Loam,45.00%,74,51,31,1044 mm,West Bengal,Kharif,"['Vegetables', 'Pulses', 'Mustard']"
Black Cotton Soil,42.00%,44,46,57,482 mm,Karnataka,Rabi,"['Soybean', 'Cotton', 'Sorghum']"
Clayey,14.00%,100,41,97,1017 mm,Punjab,Zaid,"['Sugarcane', 'Jute', 'Rice']"
Black Cotton Soil,51.00%,65,75,37,344 mm,Andhra Pradesh,Rabi,"['Cotton', 'Soybean']"
Clayey,25.00%,52,24,99,695 mm,Odisha,Rabi,['Sugarcane']
Loamy,57.00%,104,85,94,863 mm,Maharashtra,Kharif,"['Barley', 'Maize']"
Black Cotton Soil,16.00%,46,41,65,1086 mm,West Bengal,Zaid,['Cotton']
Silty Loam,21.00%,51,89,52,873 mm,Karnataka,Rabi,['Mustard']
Silty Loam,35.00%,64,69,35,435 mm,Odisha,Rabi,"['Pulses', 'Vegetables']"
Loamy,25.00%,59,77,30,983 mm,Andhra Pradesh,Rabi,"['Wheat', 'Barley']"
Silty Loam,47.00%,65,41,96,797 mm,Punjab,Zaid,['Vegetables']
Sandy Loam,41.00%,56,45,23,847 mm,Punjab,Rabi,['Cotton']
Clayey,48.00%,64,38,101,914 mm,Punjab,Kharif,"['Rice', 'Sugarcane']"
Sandy Loam,44.00%,95,46,26,786 mm,Maharashtra,Kharif,"['Chickpea', 'Groundnut']"
Clayey,45.00%,81,62,59,927 mm,Andhra Pradesh,Zaid,"['Sugarcane', 'Jute']"
Black Cotton Soil,18.00%,41,67,39,444 mm,West Bengal,Rabi,"['Cotton', 'Soybean']"
Silty Loam,28.00%,77,32,59,1035 mm,Maharashtra,Kharif,"['Mustard', 'Vegetables', 'Pulses']"
Clayey,58.00%,66,60,25,379 mm,Tamil Nadu,Zaid,"['Sugarcane', 'Jute']"
Silty Loam,24.00%,117,26,68,621 mm,Karnataka,Kharif,"['Pulses', 'Vegetables']"
Sandy Loam,47.00%,88,47,20,490 mm,Maharashtra,Zaid,['Chickpea']
Loamy,57.00%,96,61,105,767 mm,Odisha,Kharif,"['Barley', 'Wheat']"
Loamy,23.00%,120,61,90,747 mm,Tamil Nadu,Zaid,"['Wheat', 'Maize']"
Clayey,20.00%,31,36,32,1147 mm,Tamil Nadu,Zaid,['Rice']
Black Cotton Soil,15.00%,112,58,52,607 mm,Karnataka,Kharif,['Soybean']
Clayey,27.00%,95,26,40,1078 mm,Tamil Nadu,Kharif,"['Rice', 'Sugarcane', 'Jute']"
Clayey,46.00%,87,79,79,788 mm,West Bengal,Zaid,['Jute']
Silty Loam,24.00%,44,33,80,644 mm,Punjab,Zaid,['Pulses']
Black Cotton Soil,48.00%,113,33,59,332 mm,Andhra Pradesh,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Clayey,35.00%,38,83,43,865 mm,Andhra Pradesh,Rabi,['Jute']
Clayey,43.00%,96,78,56,665 mm,Odisha,Kharif,['Sugarcane']
Silty Loam,47.00%,87,87,86,909 mm,Andhra Pradesh,Rabi,"['Pulses', 'Mustard']"
Sandy Loam,42.00%,100,56,30,384 mm,West Bengal,Kharif,"['Chickpea', 'Groundnut']"
Loamy,20.00%,78,67,63,1034 mm,Andhra Pradesh,Kharif,"['Maize', 'Wheat']"
Silty Loam,51.00%,79,60,39,520 mm,Tamil Nadu,Rabi,"['Vegetables', 'Mustard']"
Sandy Loam,42.00%,61,21,73,815 mm,Maharashtra,Kharif,"['Cotton', 'Chickpea', 'Groundnut']"
Sandy Loam,42.00%,80,38,74,979 mm,West Bengal,Rabi,"['Cotton', 'Groundnut']"
Silty Loam,14.00%,82,90,84,346 mm,Punjab,Zaid,"['Pulses', 'Mustard', 'Vegetables']"
Silty Loam,28.00%,109,22,100,637 mm,Karnataka,Kharif,"['Mustard', 'Pulses']"
Black Cotton Soil,36.00%,30,33,79,367 mm,Punjab,Rabi,"['Soybean', 'Sorghum']"
Silty Loam,39.00%,101,44,69,835 mm,Odisha,Kharif,"['Vegetables', 'Mustard']"
Loamy,16.00%,78,49,74,773 mm,Punjab,Rabi,"['Wheat', 'Barley']"
Silty Loam,14.00%,82,47,35,828 mm,Punjab,Kharif,"['Mustard', 'Vegetables', 'Pulses']"
Sandy Loam,39.00%,119,73,102,801 mm,Andhra Pradesh,Kharif,"['Chickpea', 'Groundnut', 'Cotton']"
Loamy,34.00%,56,42,103,966 mm,Andhra Pradesh,Rabi,"['Wheat', 'Maize']"
Sandy Loam,32.00%,108,40,39,1149 mm,Maharashtra,Rabi,['Chickpea']
Black Cotton Soil,37.00%,69,43,90,846 mm,Odisha,Zaid,"['Soybean', 'Cotton', 'Sorghum']"
Black Cotton Soil,39.00%,94,72,47,1107 mm,Karnataka,Rabi,"['Cotton', 'Soybean']"
Clayey,10.00%,119,45,36,944 mm,West Bengal,Zaid,"['Rice', 'Jute']"
Sandy Loam,13.00%,106,73,104,962 mm,West Bengal,Zaid,['Cotton']
Sandy Loam,57.00%,116,27,23,1150 mm,Odisha,Kharif,"['Cotton', 'Groundnut', 'Chickpea']"
Clayey,37.00%,95,54,41,1112 mm,Tamil Nadu,Zaid,"['Sugarcane', 'Jute']"
Sandy Loam,34.00%,86,71,65,321 mm,Maharashtra,Rabi,"['Cotton', 'Chickpea']"
Silty Loam,28.00%,36,40,21,853 mm,West Bengal,Zaid,"['Vegetables', 'Pulses']"
Black Cotton Soil,53.00%,49,41,75,885 mm,Andhra Pradesh,Zaid,['Sorghum']
Sandy Loam,11.00%,77,73,32,809 mm,Odisha,Kharif,['Cotton']
Black Cotton Soil,60.00%,33,55,90,440 mm,Odisha,Rabi,"['Soybean', 'Sorghum']"
Silty Loam,58.00%,103,50,68,1186 mm,Odisha,Rabi,['Vegetables']
Clayey,45.00%,116,39,30,454 mm,Karnataka,Rabi,['Rice']
Silty Loam,46.00%,43,25,53,996 mm,Tamil Nadu,Zaid,"['Vegetables', 'Mustard', 'Pulses']"
Clayey,13.00%,72,21,106,501 mm,West Bengal,Rabi,['Rice']
Silty Loam,41.00%,82,28,29,1098 mm,Odisha,Kharif,"['Vegetables', 'Mustard']"
Black Cotton Soil,22.00%,53,40,102,385 mm,Odisha,Kharif,['Sorghum']
Loamy,56.00%,86,21,31,839 mm,Tamil Nadu,Rabi,"['Barley', 'Maize']"
Sandy Loam,24.00%,84,38,76,787 mm,Andhra Pradesh,Rabi,"['Chickpea', 'Groundnut', 'Cotton']"
Loamy,30.00%,85,51,47,758 mm,Punjab,Rabi,"['Barley', 'Wheat']"
Clayey,41.00%,82,61,28,386 mm,Maharashtra,Zaid,"['Sugarcane', 'Rice']"
Loamy,53.00%,88,78,24,758 mm,Andhra Pradesh,Rabi,"['Barley', 'Wheat', 'Maize']"
Silty Loam,47.00%,96,39,24,1007 mm,Karnataka,Zaid,['Vegetables']
Sandy Loam,28.00%,60,20,85,778 mm,Andhra Pradesh,Kharif,['Cotton']
Silty Loam,35.00%,105,58,57,795 mm,Punjab,Rabi,"['Mustard', 'Vegetables', 'Pulses']"
Sandy Loam,50.00%,119,30,80,958 mm,Maharashtra,Kharif,['Cotton']
Black Cotton Soil,12.00%,47,84,20,588 mm,Tamil Nadu,Zaid,"['Sorghum', 'Soybean', 'Cotton']"
Clayey,45.00%,52,81,22,1035 mm,Odisha,Zaid,"['Sugarcane', 'Rice', 'Jute']"
Silty Loam,44.00%,74,46,42,463 mm,Odisha,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Sandy Loam,56.00%,92,36,69,635 mm,Punjab,Rabi,"['Groundnut', 'Chickpea', 'Cotton']"
Sandy Loam,32.00%,76,76,89,997 mm,Andhra Pradesh,Rabi,['Cotton']
Silty Loam,51.00%,113,31,22,734 mm,Odisha,Kharif,"['Vegetables', 'Mustard', 'Pulses']"
Loamy,42.00%,76,41,73,797 mm,Maharashtra,Kharif,"['Maize', 'Wheat', 'Barley']"
Silty Loam,24.00%,55,73,47,755 mm,Tamil Nadu,Zaid,"['Vegetables', 'Pulses', 'Mustard']"
Black Cotton Soil,42.00%,82,56,74,602 mm,Karnataka,Rabi,"['Cotton', 'Soybean']"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
